User-ID,Location,Age
2,"stockton, california, usa",18
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
8,"timmins, ontario, canada",NULL
9,"germantown, tennessee, usa",NULL
9,"germantown, tennessee, usa",NULL
9,"germantown, tennessee, usa",NULL
10,"albacete, wisconsin, spain",26
12,"fort bragg, california, usa",NULL
14,"mediapolis, iowa, usa",NULL
14,"mediapolis, iowa, usa",NULL
14,"mediapolis, iowa, usa",NULL
14,"mediapolis, iowa, usa",NULL
16,"albuquerque, new mexico, usa",NULL
16,"albuquerque, new mexico, usa",NULL
17,"chesapeake, virginia, usa",NULL
19,"weston, ,",14
20,"langhorne, pennsylvania, usa",19
22,"erfurt, thueringen, germany",NULL
22,"erfurt, thueringen, germany",NULL
22,"erfurt, thueringen, germany",NULL
22,"erfurt, thueringen, germany",NULL
23,"philadelphia, pennsylvania, usa",NULL
26,"bellevue, washington, usa",NULL
26,"bellevue, washington, usa",NULL
32,"portland, oregon, usa",NULL
32,"portland, oregon, usa",NULL
32,"portland, oregon, usa",NULL
36,"montreal, quebec, canada",24
39,"cary, north carolina, usa",NULL
39,"cary, north carolina, usa",NULL
39,"cary, north carolina, usa",NULL
42,"appleton, wisconsin, usa",17
44,"black mountain, north carolina, usa",51
44,"black mountain, north carolina, usa",51
44,"black mountain, north carolina, usa",51
44,"black mountain, north carolina, usa",51
44,"black mountain, north carolina, usa",51
51,"renton, washington, usa",34
53,"tacoma, washington, usa",NULL
53,"tacoma, washington, usa",NULL
53,"tacoma, washington, usa",NULL
53,"tacoma, washington, usa",NULL
53,"tacoma, washington, usa",NULL
53,"tacoma, washington, usa",NULL
53,"tacoma, washington, usa",NULL
56,"cheyenne, wyoming, usa",24
56,"cheyenne, wyoming, usa",24
56,"cheyenne, wyoming, usa",24
64,"lyon, rhone, france",32
67,"framingham, massachusetts, usa",43
67,"framingham, massachusetts, usa",43
67,"framingham, massachusetts, usa",43
67,"framingham, massachusetts, usa",43
68,"montreal, quebec, canada",NULL
69,"vancouver, british columbia, canada",NULL
69,"vancouver, british columbia, canada",NULL
70,"rochester, new york, usa",44
73,"wentzville, missouri, usa",NULL
75,"long beach, california, usa",37
75,"long beach, california, usa",37
75,"long beach, california, usa",37
75,"long beach, california, usa",37
77,"vancouver, british columbia, canada",NULL
78,"oakland, california, usa",18
79,"ottawa, ontario, canada",20
81,"santa cruz, california, usa",NULL
82,"del mar, california, usa",NULL
83,"eugene, oregon, usa",NULL
85,"london, england, united kingdom",41
85,"london, england, united kingdom",41
86,"los angeles, california, usa",NULL
87,"richardson, texas, usa",NULL
87,"richardson, texas, usa",NULL
87,"richardson, texas, usa",NULL
88,"fayetteville, georgia, usa",NULL
91,"toronto/newmarket, ,",NULL
92,"castellar del valles, barcelona, spain",20
92,"castellar del valles, barcelona, spain",20
92,"castellar del valles, barcelona, spain",20
95,"grand island, new york, usa",NULL
97,"mechanicsburg, pennsylvania, usa",NULL
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
99,"franktown, colorado, usa",42
102,"barcelona, n/a, spain",NULL
107,"lethbridge, alberta, canada",NULL
109,"muncie, indiana, usa",20
110,"peoira, illinois, usa",NULL
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
114,"ligonier, pennsylvania, usa",57
125,"lansing, michigan, usa",49
129,"bloomington, minnesota, usa",47
132,"silver spring, maryland, usa",38
133,"jacksonville, florida, usa",45
133,"jacksonville, florida, usa",45
133,"jacksonville, florida, usa",45
135,"berkshire, new york, usa",NULL
135,"berkshire, new york, usa",NULL
139,"baltimore, maryland, usa",35
141,"darien, new york, usa",NULL
144,"cape girardeau, missouri, usa",62
151,"darwin, northern territory, australia",NULL
160,"almada, n/a, portugal",20
162,"newark, delaware, usa",NULL
165,"olympia, washington, usa",62
165,"olympia, washington, usa",62
165,"olympia, washington, usa",62
165,"olympia, washington, usa",62
165,"olympia, washington, usa",62
169,"arlington, virginia, usa",NULL
176,"london, london, united kingdom",34
176,"london, london, united kingdom",34
176,"london, london, united kingdom",34
176,"london, london, united kingdom",34
176,"london, london, united kingdom",34
178,"rexford, new york, usa",28
178,"rexford, new york, usa",28
178,"rexford, new york, usa",28
183,"porto, porto, portugal",27
183,"porto, porto, portugal",27
185,"baton rouge, louisiana, usa",17
185,"baton rouge, louisiana, usa",17
190,"wezembeek-oppem, brussels, belgium",33
193,"mumbai, maharashtra, india",23
199,"austin, texas, usa",38
199,"austin, texas, usa",38
199,"austin, texas, usa",38
202,"ottawa, ontario, canada",28
204,"turner, oregon, usa",15
204,"turner, oregon, usa",15
207,"west bend, wisconsin, usa",NULL
212,"manila, n/a, philippines",21
215,"port alberni, british columbia, canada",20
217,"spencer, massachusetts, usa",NULL
224,"strafford, missouri, usa",NULL
226,"new york, new york, usa",NULL
228,"ann arbor, michigan, usa",41
228,"ann arbor, michigan, usa",41
230,"ny, new york, usa",NULL
232,"mumbai, maharashtra, india",16
232,"mumbai, maharashtra, india",16
232,"mumbai, maharashtra, india",16
232,"mumbai, maharashtra, india",16
232,"mumbai, maharashtra, india",16
236,"s. pasadena, california, usa",NULL
237,"plymouth, minnesota, usa",27
237,"plymouth, minnesota, usa",27
241,"auburn, alabama, usa",NULL
242,"neuffen, baden-wuerttemberg, germany",37
242,"neuffen, baden-wuerttemberg, germany",37
242,"neuffen, baden-wuerttemberg, germany",37
242,"neuffen, baden-wuerttemberg, germany",37
242,"neuffen, baden-wuerttemberg, germany",37
242,"neuffen, baden-wuerttemberg, germany",37
